cell_id,cathode_weight,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,energy_0.1C,energy_0.2C,energy_0.5C,energy_1C,energy_2C,energy_3C,energy_5C,energy_density_0.1C,energy_density_0.2C,energy_density_0.5C,energy_density_1C,energy_density_2C,energy_density_3C,energy_density_5C,capacity_0.1C,capacity_0.2C,capacity_0.5C,capacity_1C,capacity_2C,capacity_3C,capacity_5C,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C
1.2-30,0.0079,10.8225,26.8847,34.9,7.0158,0.289,43.6,0.0044,0.0043,0.0036,0.0028,0.0023,0.0019,0.0012,0.5522,0.5369,0.4484,0.3597,0.2949,0.24,0.1561,1.235,1.163,0.964,0.779,0.657,0.545,0.366,156.1315,147.0291,121.8711,98.4829,83.0594,68.9001,46.2705
1.2-31,0.0079,10.8225,26.0369,34.5,6.9508,0.322,45.3,0.0043,0.0042,0.0035,0.0029,0.0024,0.0021,0.0013,0.5461,0.5288,0.4436,0.3674,0.3083,0.2617,0.168,1.212,1.142,0.951,0.793,0.687,0.597,0.396,153.2238,144.3742,120.2276,100.2528,86.8521,75.4741,50.0632
1.2-32,0.0078,10.6952,25.8322,34,7.0158,0.2986,44.2,0.0044,0.0041,0.0035,0.0029,0.0024,0.0019,0.0013,0.5567,0.5271,0.4476,0.3711,0.3026,0.2446,0.162,1.213,1.128,0.953,0.8,0.665,0.547,0.374,155.3137,144.4302,122.0231,102.4328,85.1473,70.0384,47.8873
1.2-33,0.0079,10.8225,22.675,33,7.0808,0.3271,46.5,0.0044,0.0042,0.0036,0.003,0.0026,0.0023,0.0014,0.5525,0.5319,0.4484,0.3788,0.3278,0.2857,0.1805,1.231,1.152,0.967,0.822,0.733,0.653,0.423,155.6258,145.6384,122.2503,103.9191,92.6675,82.5537,53.4766
1.3-1,0.0076,10.4406,29.6667,35,6.9508,0.3857,50,0.005,0.0048,0.0046,0.0042,0.0037,0.0031,0.0019,0.6604,0.6298,0.6003,0.5557,0.4814,0.405,0.2528,1.385,1.292,1.237,1.158,1.028,0.886,0.565,181.5203,169.3316,162.1232,151.7693,134.7313,116.1206,74.0498
1.3-2,0.0075,10.3132,30.5244,35,6.9508,0.3857,50,0.0048,0.0047,0.0043,0.004,0.0035,0.003,0.0015,0.6376,0.6224,0.5748,0.5309,0.4679,0.402,0.2004,1.316,1.271,1.178,1.101,0.992,0.872,0.448,174.7676,168.7915,156.4409,146.2151,131.7397,115.8035,59.4954
1.3-3,0.0075,10.3132,30.5244,35,7.2107,0.3628,50,0.0049,0.0047,0.0045,0.0042,0.0037,0.0033,0.0022,0.6503,0.6202,0.5934,0.5541,0.4938,0.4332,0.2906,1.348,1.254,1.205,1.137,1.039,0.933,0.639,179.0173,166.5339,160.0266,150.996,137.9814,123.9044,84.8606
1.3-4,0.0074,10.1859,31.3822,35,6.626,0.4144,50,0.0047,0.0046,0.0043,0.004,0.0036,0.0033,0.0024,0.6358,0.6194,0.5798,0.5395,0.4835,0.4449,0.328,1.309,1.239,1.162,1.091,1.001,0.941,0.711,175.9409,166.5323,156.1828,146.6398,134.543,126.4785,95.5645
1.3-5,0.0078,10.6952,27.9513,35,6.9508,0.3857,50,0.0053,0.0051,0.0049,0.0046,0.0042,0.0037,0.002,0.6775,0.6569,0.6236,0.5907,0.5356,0.4708,0.2539,1.448,1.381,1.321,1.267,1.176,1.057,0.584,185.4033,176.8246,169.1421,162.2279,150.5762,135.3393,74.7759
1.3-6,0.0076,10.4406,29.6667,35,6.756,0.403,50,0.0048,0.0046,0.0044,0.0041,0.0034,0.0028,0.0018,0.6246,0.6058,0.5786,0.5353,0.4454,0.3638,0.2374,1.326,1.242,1.188,1.109,0.945,0.789,0.527,173.7877,162.7785,155.7012,145.3473,123.8532,103.4076,69.0695
1.3-7,0.0076,10.4406,35.2194,38,7.0158,0.4151,53,0.0052,0.005,0.0048,0.0045,0.0041,0.0036,0.002,0.6767,0.652,0.622,0.591,0.5358,0.473,0.2676,1.409,1.337,1.284,1.236,1.144,1.031,0.599,184.6658,175.2294,168.2831,161.9921,149.9345,135.1245,78.5059
1.3-8,0.0075,10.3132,30.5244,35,7.0808,0.3925,51.5,0.0049,0.0047,0.0045,0.0043,0.004,0.0036,0.0024,0.6477,0.6296,0.6031,0.5736,0.5263,0.4762,0.3169,1.333,1.276,1.23,1.185,1.113,1.028,0.7,177.0252,169.4555,163.3466,157.3705,147.8088,136.5206,92.9615
1.3-10,0.0076,10.4406,32.5571,36.5,7.2107,0.4207,55,0.0051,0.0048,0.0045,0.0042,0.0036,0.0031,0.0015,0.6651,0.6286,0.5879,0.5435,0.4773,0.4076,0.1959,1.392,1.292,1.22,1.141,1.024,0.893,0.44,182.4378,169.3316,159.8952,149.5413,134.2071,117.038,57.6671
1.3-11,0.0077,10.5679,33.5551,37.5,7.2107,0.4259,55.5,0.0051,0.0049,0.0047,0.0044,0.004,0.0036,0.0021,0.6564,0.6338,0.6051,0.5694,0.5174,0.4684,0.272,1.396,1.315,1.264,1.205,1.119,1.035,0.616,180.829,170.3368,163.7306,156.0881,144.9482,134.0674,79.7928
1.3-12,0.0075,10.3132,35.1562,37.5,7.2107,0.4259,55.5,0.0051,0.0048,0.0046,0.0044,0.004,0.0036,0.002,0.6737,0.6426,0.6145,0.5819,0.5319,0.4761,0.2602,1.386,1.302,1.254,1.203,1.124,1.028,0.577,184.0638,172.9084,166.5339,159.761,149.2696,136.5206,76.6268
1.3-14,0.0076,10.4406,38.7646,40.2,6.9508,0.4071,51.8,0.0046,0.0043,0.0037,0.003,0.0022,0.0017,0.0011,0.6075,0.565,0.4895,0.3942,0.2814,0.2163,0.1447,1.293,1.166,1.007,0.82,0.605,0.479,0.333,169.4627,152.8178,131.979,107.4705,79.2923,62.7785,43.6435
1.3-15,0.0074,10.1859,31.9653,35.3,7.0158,0.4038,52,0.0046,0.0043,0.0038,0.0034,0.0028,0.0024,0.0016,0.6219,0.5715,0.5168,0.4499,0.3742,0.3198,0.2152,1.282,1.153,1.04,0.916,0.783,0.687,0.476,172.3118,154.9731,139.785,123.1183,105.2419,92.3387,63.9785
1.3-16,0.0077,10.5679,32.6572,37,7.0808,0.3983,52,0.0046,0.0043,0.0038,0.0033,0.0028,0.0024,0.0014,0.6007,0.5542,0.4913,0.4307,0.3589,0.3053,0.1859,1.293,1.155,1.022,0.906,0.777,0.68,0.426,167.4871,149.6114,132.3834,117.3575,100.6477,88.0829,55.1814
1.3-17,0.0077,10.5679,31.3585,36.3,7.0808,0.4108,53.1,0.0046,0.0045,0.0041,0.0036,0.0029,0.0023,0.0014,0.6005,0.5766,0.5299,0.4617,0.3697,0.2961,0.1797,1.297,1.212,1.109,0.978,0.805,0.661,0.412,168.0052,156.9948,143.6529,126.6839,104.2746,85.6218,53.3679
1.3-18,0.0076,10.4406,36.3911,38.7,7.0808,0.3705,49.7,0.0046,0.0044,0.0041,0.0039,0.0035,0.0031,0.0021,0.6043,0.5758,0.533,0.506,0.4583,0.4102,0.2708,1.281,1.186,1.098,1.056,0.983,0.901,0.61,167.8899,155.4391,143.9056,138.4011,128.8336,118.0865,79.9476
1.3-19,0.0076,10.4406,30.0663,35.2,7.2107,0.4207,55,0.0047,0.0044,0.0041,0.0037,0.0032,0.0027,0.0015,0.6168,0.5809,0.5336,0.4877,0.425,0.359,0.1946,1.305,1.199,1.104,1.022,0.914,0.79,0.438,171.0354,157.1429,144.692,133.945,119.7903,103.5387,57.405
1.3-20,0.0076,10.4406,31.6204,36,6.9508,0.4238,53.3,0.0047,0.0043,0.0039,0.0034,0.0027,0.0021,0.0011,0.6131,0.5613,0.5083,0.4409,0.3535,0.2724,0.1427,1.304,1.154,1.048,0.92,0.76,0.602,0.323,170.9043,151.2451,137.3526,120.5767,99.6068,78.8991,42.3329
1.3-21,0.0074,10.1859,31.1856,34.9,6.8859,0.416,52.1,0.0045,0.0041,0.0036,0.0032,0.0027,0.0022,0.0013,0.6054,0.5492,0.4809,0.428,0.3557,0.2949,0.177,1.259,1.105,0.964,0.867,0.741,0.633,0.391,169.2204,148.5215,129.5699,116.5323,99.5968,85.0807,52.5538
1.3-22,0.0077,10.5679,33.3774,37.4,7.0158,0.405,52.1,0.0047,0.0046,0.0043,0.0038,0.0031,0.0025,0.0014,0.6141,0.5992,0.5576,0.4916,0.403,0.3168,0.1799,1.319,1.256,1.173,1.048,0.884,0.712,0.415,170.8549,162.6943,151.943,135.7513,114.5078,92.228,53.7565
1.3-23,0.0076,10.4406,31.0458,35.7,6.8859,0.4069,51.3,0.0047,0.0044,0.0041,0.0038,0.0032,0.0026,0.0014,0.6201,0.5818,0.5384,0.4974,0.4237,0.3465,0.1798,1.313,1.2,1.114,1.043,0.913,0.765,0.406,172.0839,157.2739,146.0026,136.6973,119.6592,100.2621,53.211
1.3-24,0.0074,10.1859,38.7341,39.2,7.0158,0.4027,51.9,0.0047,0.0045,0.0042,0.0038,0.0032,0.0026,0.0014,0.6347,0.6046,0.5602,0.5159,0.4294,0.3444,0.1825,1.316,1.214,1.127,1.052,0.902,0.745,0.408,176.8817,163.172,151.4785,141.3979,121.2366,100.1344,54.8387
1.3-25,0.0075,10.3132,37.4899,38.9,6.8859,0.3701,48.3,0.0031,0.0028,0.0024,0.0017,0.0012,0.0008,0.0004,0.4089,0.3764,0.3179,0.2316,0.1644,0.1124,0.0551,0.856,0.781,0.654,0.484,0.359,0.252,0.13,113.6786,103.7185,86.8526,64.2762,47.676,33.4661,17.2643
1.3-26,0.0077,10.5679,34.2563,37.9,7.0158,0.4038,52,0.0049,0.0047,0.0043,0.0037,0.003,0.0023,0.0012,0.633,0.6091,0.5507,0.4776,0.3881,0.3012,0.1486,1.353,1.272,1.157,1.018,0.851,0.679,0.343,175.2591,164.7668,149.8705,131.8653,110.2332,87.9534,44.4301
1.3-27,0.0076,10.4406,31.2384,35.8,7.0158,0.4248,53.9,0.0047,0.0046,0.0043,0.0039,0.0034,0.0028,0.0014,0.6208,0.599,0.5587,0.5076,0.4433,0.3645,0.1806,1.308,1.232,1.159,1.066,0.956,0.805,0.407,171.4286,161.4679,151.9004,139.7117,125.2949,105.5046,53.3421
1.3-28,0.0075,10.3132,33.3796,36.5,6.9508,0.4025,51.4,0.0047,0.0044,0.004,0.0034,0.0027,0.0021,0.0012,0.6171,0.5811,0.53,0.456,0.3584,0.2748,0.1525,1.291,1.177,1.077,0.938,0.761,0.6,0.34,171.4475,156.3081,143.0279,124.5684,101.0624,79.6813,45.1527
1.3-29,0.0074,10.1859,37.1303,38.2,7.1457,0.4164,54.1,0.005,0.0046,0.0043,0.0039,0.0033,0.0024,0.0006,0.6653,0.6227,0.5741,0.5246,0.4466,0.3196,0.0863,1.356,1.256,1.165,1.078,0.94,0.688,0.193,182.2581,168.8172,156.586,144.8925,126.3441,92.4731,25.9409
1.3-30,0.0075,10.3132,30.5244,35,7.2757,0.3934,53,0.0046,0.0043,0.0039,0.0034,0.003,0.0027,0.0017,0.6147,0.5761,0.5133,0.456,0.4,0.3553,0.2309,1.299,1.182,1.049,0.943,0.85,0.774,0.516,172.51,156.9721,139.3094,125.2324,112.8818,102.7888,68.5259
1.3-31,0.0075,10.3132,34.2799,37,7.0808,0.4259,54.5,0.0048,0.0046,0.0042,0.0037,0.0032,0.0028,0.0015,0.6345,0.6125,0.5606,0.4972,0.4247,0.3691,0.2001,1.329,1.25,1.151,1.033,0.905,0.805,0.447,176.494,166.0027,152.8553,137.1846,120.1859,106.9057,59.3626
1.3-32,0.0076,10.4406,35.2194,38,7.2107,0.4132,54.3,0.0049,0.0048,0.0045,0.0042,0.0037,0.003,0.001,0.6366,0.6299,0.5942,0.5547,0.4897,0.3946,0.1313,1.33,1.295,1.233,1.166,1.054,0.869,0.298,174.3119,169.7248,161.599,152.8178,138.1389,113.8925,39.0564
1.3-33,0.0074,10.1859,35.2662,37.1,7.2107,0.4228,55.2,0.0048,0.0046,0.0043,0.0038,0.003,0.0023,0.0012,0.6458,0.6136,0.5761,0.5063,0.4031,0.3086,0.1585,1.336,1.23,1.16,1.033,0.845,0.663,0.348,179.5699,165.3226,155.914,138.8441,113.5753,89.1129,46.7742
2.1-1,0.01,13.6237,17.6366,39,8.1851,0.3176,53,0.0067,0.0065,0.0063,0.006,0.0054,0.0042,0.002,0.6713,0.6491,0.6324,0.6046,0.5466,0.4221,0.2022,1.826,1.732,1.704,1.656,1.548,1.216,0.598,183.5176,174.0704,171.2563,166.4322,155.5779,122.2111,60.1005
2.1-4,0.01,13.751,16.8669,39,8.2501,0.3122,53,0.0063,0.0058,0.0053,0.0048,0.004,0.0031,0.002,0.6254,0.5737,0.5292,0.4785,0.3953,0.3105,0.1945,1.754,1.548,1.43,1.313,1.116,0.889,0.572,174.7012,154.1833,142.4303,130.7769,111.1554,88.5458,56.9721
