cell_id,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,calculated_NP_ratio,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C,5C
173,13.75,29.21,45.8,8.12,34.28,54.6,1.04,173.6,154.9,138.5,118.75,93.6,68.3,42.87,
174,13.24,35.09,48.1,8.32,31.07,53.3,1.11,180.04,162.81,152.29,142.1,130.5,111.54,66.58,
175,13.37,34.47,48.1,8.38,34.35,56.4,1.11,158.34,162.7,145.33,133.82,114.07,85.27,36.79,
176,13.11,27.07,42.4,8.38,30.53,53.3,1.13,158.25,157.65,129.08,96.55,74.27,57.09,35.82,
177,13.11,26.73,42.2,8.32,31.96,54,1.12,167.09,161.91,138.6,127.32,121.76,99.39,52.59,
178,15.15,22.34,46,10.39,29.34,65,1.22,166.4,150.68,120.69,98.46,75.79,58.9,39.3,
179,15.28,21.69,46,10.39,29.34,65,1.21,156.99,146.06,123.57,80.91,56.54,39.52,24.91,
180,15.15,22.34,46,10.39,29.34,65,1.22,167.66,153.03,127.01,94.94,68.65,49.05,30.08,
181,15.15,22.34,46,10.39,29.34,65,1.22,175.1,155.09,142.16,127.7,97.74,75.59,46.34,
182,15.15,22.34,46,10.33,29.78,65,1.21,166.03,149.86,123.67,95.12,66.31,50.77,32.97,
183,15.15,22.34,46,10.33,29.78,65,1.21,169.21,152.96,125.86,92.96,64.26,44.21,28.7,
184,15.02,20.57,44.6,10.26,28.8,63.7,1.21,108.3,113.4,91.89,69.28,44.39,26.34,11.39,
185,15.66,19.2,45.7,10.39,27.33,63.2,1.18,110.31,104.11,71.68,33.13,16.61,9.53,3.85,
186,15.66,20.93,46.7,10.46,27.56,63.8,1.18,102.71,93.79,61.45,27.88,13.72,7.34,2.62,
187,15.66,20.25,46.3,10.26,31.8,66.5,1.16,162.41,159.09,148.86,134.79,61.98,27.01,9.62,
188,15.53,20.03,45.8,10.33,24.19,60.2,1.18,158.24,144.23,109.25,75.33,48.02,30.93,14.1,
