,cell_id,cathode_weight,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,energy_0.1C,energy_0.2C,energy_0.5C,energy_1C,energy_2C,energy_3C,energy_5C,energy_density_0.1C,energy_density_0.2C,energy_density_0.5C,energy_density_1C,energy_density_2C,energy_density_3C,energy_density_5C,capacity_0.1C,capacity_0.2C,capacity_0.5C,capacity_1C,capacity_2C,capacity_3C,capacity_5C,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C
89,2.1-33,0.0097,13.2417,19.5332,38.8,8.38,0.2668,50.5,0.0057,0.0055,0.0045,0.0037,0.0028,0.0019,0.0009,0.5859,0.57,0.4695,0.3772,0.2941,0.196,0.0973,1.5819999999999999,1.4969999999999999,1.232,1.006,0.81,0.546,0.28,163.5988,154.8087,127.4043,104.0331,83.7642,56.4633,28.9555
90,2.2-1,0.0099,13.4963,24.2345,42.0,8.2501,0.3604,57.0,0.0064,0.0062,0.0061,0.0059,0.0052,0.0041,0.002,0.6489,0.6291,0.6187,0.5941,0.5261,0.4129,0.1993,1.7619999999999998,1.663,1.651,1.6119999999999999,1.473,1.176,0.578,178.7018,168.6613,167.4442,163.4888,149.3915,119.2698,58.6207
91,2.2-2,0.0099,13.4963,24.2345,42.0,8.2501,0.3604,57.0,0.0055,0.0056,0.0051,0.0049,0.004,0.003,0.0017,0.5612,0.5665,0.5168,0.4932,0.4053,0.2992,0.1716,1.545,1.5130000000000001,1.3780000000000001,1.338,1.133,0.847,0.498,156.6937,153.4483,139.7566,135.6998,114.9087,85.9026,50.5071
92,2.2-3,0.0097,13.2417,25.664,42.0,8.38,0.3504,57.0,0.0061,0.0058,0.0052,0.0045,0.0035,0.0025,0.0014,0.6275,0.6004,0.5405,0.4609,0.3654,0.2539,0.1493,1.679,1.555,1.406,1.215,0.993,0.696,0.42,173.6298,160.8066,145.3981,125.6463,102.6887,71.9752,43.4333
93,2.2-4,0.0096,13.1144,26.3788,42.0,8.445,0.3453,57.0,0.0044,0.0046,0.0038,0.003,0.0024,0.0018,0.001,0.4581,0.4767,0.3926,0.3086,0.2458,0.1822,0.109,1.234,1.265,1.026,0.81,0.6659999999999999,0.502,0.31,128.81,132.0459,107.0981,84.5512,69.5198,52.4008,32.3591
94,2.2-5,0.0097,13.2417,25.664,42.0,8.2501,0.3604,57.0,0.0062,0.006,0.0055,0.0049,0.0041,0.003,0.0016,0.6432,0.6154,0.5651,0.5101,0.4283,0.3145,0.1646,1.714,1.5959999999999999,1.476,1.354,1.173,0.873,0.47,177.2492,165.0465,152.637,140.0207,121.303,90.2792,48.6039
95,2.2-7,0.0092,12.6051,26.616999999999997,40.5,8.5099,0.3449,57.4,0.0047,0.0046,0.0038,0.0031,0.0025,0.0019,0.0013,0.5127,0.5017,0.4129,0.3309,0.2655,0.2043,0.138,1.339,1.261,1.0270000000000001,0.8290000000000001,0.685,0.535,0.37200000000000005,145.3855,136.9164,111.5092,90.0109,74.3757,58.089,40.3909
96,2.2-8,0.0092,12.6051,20.7464,37.5,8.5099,0.3321,56.3,0.005,0.0049,0.0042,0.0035,0.0028,0.0022,0.0014,0.5445,0.5362,0.45899999999999996,0.3835,0.3078,0.2397,0.1493,1.425,1.351,1.149,0.966,0.797,0.63,0.40299999999999997,154.7231,146.6884,124.7557,104.88600000000001,86.5364,68.4039,43.7568
97,2.2-9,0.0095,12.987,23.4482,40.0,8.5099,0.3426,57.2,0.0059,0.0054,0.0049,0.0043,0.0039,0.0032,0.002,0.6159,0.5658,0.5115,0.4557,0.4092,0.3392,0.2145,1.619,1.439,1.3019999999999998,1.1740000000000002,1.089,0.9179999999999999,0.591,170.6006,151.6333,137.1971,123.7092,114.7524,96.7334,62.2761
98,2.2-10,0.0095,12.987,32.7017,45.5,8.7048,0.3228,56.8,0.0058,0.0054,0.0048,0.0043,0.0037,0.003,0.0019,0.6153,0.5642,0.5041,0.4487,0.39399999999999996,0.3126,0.1954,1.618,1.432,1.28,1.155,1.046,0.841,0.537,170.4953,150.8957,134.8788,121.7071,110.2213,88.6196,56.5859
